class,class count
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,239
http://www.w3.org/2000/01/rdf-schema#Class,63
http://www.w3.org/2002/07/owl#AnnotationProperty,21
http://www.w3.org/2002/07/owl#Class,68
http://www.w3.org/2002/07/owl#DatatypeProperty,45
http://www.w3.org/2002/07/owl#ObjectProperty,172
http://www.w3.org/2002/07/owl#SymmetricProperty,2
http://www.w3.org/2002/07/owl#TransitiveProperty,1
"",
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
property,property count,as range of property count,Uniqueness(%),Literal(%),Dataset resource(%),External resource(%)
http://d-nb.info/standards/elementset/gnd#marc21equivalent,304,0,0.0,0.0,0.0,0.0
http://d-nb.info/standards/elementset/gnd#superPropertyOf,16,0,0.0,0.0,0.0,0.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,480,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#comment,215,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#domain,219,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,239,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#label,478,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#range,207,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#seeAlso,19,19,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,203,94,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#deprecated,7,0,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#equivalentProperty,14,0,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#inverseOf,12,10,0.0,0.0,0.0,0.0
"",
http://www.w3.org/2000/01/rdf-schema#Class
property,property count,as range of property count,Uniqueness(%),Literal(%),Dataset resource(%),External resource(%)
http://d-nb.info/standards/elementset/gnd#marc21equivalent,64,0,0.0,0.0,0.0,0.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,0,554
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,126,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#comment,12,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#domain,0,129
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,63,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#label,126,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#range,0,76
http://www.w3.org/2000/01/rdf-schema#seeAlso,2,2,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#subClassOf,65,61,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#deprecated,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#disjointWith,1,1,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#equivalentClass,5,0,0.0,0.0,0.0,0.0
"",
http://www.w3.org/2002/07/owl#AnnotationProperty
property,property count,as range of property count,Uniqueness(%),Literal(%),Dataset resource(%),External resource(%)
http://d-nb.info/standards/elementset/gnd#marc21equivalent,18,0,0.0,0.0,0.0,0.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,42,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#comment,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#domain,16,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,21,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#label,42,0,0.0,0.0,0.0,0.0
