Collection ID,# records,Collection name
2048005,4664,"Nationalmuseum, Sweden -- Museu"
90402,4547,Rijksmuseum -- Rijksmuseum
92034,478,National Library of the Netherlands - Koninklijke Bibliotheek -- The European Library
2021618,319,Teylers Museum -- Digitale Collectie
2022608,288,Museum Stavanger AS -- Arts Council Norway
15502,187,Kunsthistorisches Museum -- Kulturpool
9200118,110,Llyfrgell Genedlaethol Cymru / The National Library of Wales -- The European Library
2020903,56,Statens Museum for Kunst -- DK-National Aggregation Service
2063604,21,Skagens Museum -- Europeana 280
2063624,19,National Library of Wales -- Europeana 280
2063627,14,Délégation générale à la numérisation des patrimoines culturels -- Europeana 280
9200385,14,National Library of Wales -- The European Library
9200167,12,National Library of Wales -- The European Library
2063602,12,Skoklosters Slott -- Europeana 280
2063610,11,Slovak national gallery -- Europeana 280
2023006,11,Museum M -- Erfgoedplus.be
2063609,11,Museo Sorolla -- Europeana 280
2063621,10,Musée d'Orsay -- Europeana 280
2063620,10,National Gallery - Alexandros Soutsos Museum -- Europeana 280
2063618,10,Finnish National Gallery -- Europeana 280
2063612,10,Kode Art Museum of Bergen -- Europeana 280
2063607,10,Eesti Kunstimuuseum -- Europeana 280
2063605,10,Latvijas Nacionālais mākslas muzejs -- Europeana 280
2063629,9,MUMOK -- Europeana 280
2063628,9,Irish Museum of Modern Art -- Europeana 280
2063617,9,National Museum of Fine Arts - MUZA (Heritage Malta) -- Europeana 280
2063615,9,"Narodna galerija, Ljubljana / National Gallery of Slovenia -- Europeana 280"
2063614,9,Национална библиотека „Св. Св. Кирил и Методий” // St. St. Cyril and Methodius National Library -- Europeana 280
2063611,9,"Hrvatski muzej naivne umjetnosti, Zagreb, Hrvatska -- Europeana 280"
2063608,9,Cyprus Ministry of Education and Culture -- Europeana 280
2063606,9,"Museu Nacional de Grão Vasco, Viseu -- Europeana 280"
2063603,9,Lithuanian Art Museum -- Europeana 280
2063601,9,Constanța Art Museum -- Europeana 280
2063619,8,The National Gallery in Prague -- Europeana 280
2063626,7,Biblioteca Estense -- Europeana 280
2063623,7,"Museen Böttcherstraße, Paula Modersohn-Becker Museum, Bremen -- Europeana 280"
2063622,7,Musée national d'histoire et d'art Luxembourg -- Europeana 280
2063625,6,"Museum of Fine Arts - Hungarian National Gallery, Budapest -- Europeana 280"
2063613,6,Muzeum Narodowe w Warszawie -- Europeana 280
2063630,3,Gemeentemuseum Den Haag -- Europeana 280
2021672,3,Mauritshuis -- Digitale Collectie
9200382,3,National Library of Wales -- The European Library
9200119,2,Llyfrgell Genedlaethol Cymru / The National Library of Wales -- The European Library
9200302,2,National Library of Spain -- The European Library
15508,2,Albertina -- Kulturpool
2048001,2,"KIK-IRPA, Brussels (Belgium) -- AthenaPlus"
2048047,1,"INP - National Heritage Institute, Bucharest -- AthenaPlus"
9200111,1,Uppsala University -- The European Library
2058618,1,Kulturarvsstyrelsen -- LoCloud
2064108,1,"Gemäldegalerie, Staatliche Museen zu Berlin -- Museu"
08635,1,Lietuvos Centrinis Valstybés Archyvas -- EFG - The European Film Gateway
9200300,1,Österreichische Nationalbibliothek - Austrian National Library -- The European Library
9200365,1,Bibliothèque nationale de France -- Bibliothèque nationale de France
03919,1,"Ministère de la culture et de la communication, Musées de France -- moteur Collections ; France"
10501,1,Biblioteca Nacional de Portugal -- RNOD-Portugal
15701,1,"Argos, Centre for Art and Media -- Digitising Contemporary Art"
2048414,1,Deutsche Fotothek -- Deutsche Digitale Bibliothek
91622,1,Riksantikvarieämbetet -- Swedish Open Cultural Heritage | K-samsök
2048017,1,Pictures-bank.eu (ICIMSS) -- AthenaPlus
92037,1,The British Library -- The European Library
2021609,1,Museum Rotterdam -- Digitale Collectie
2048007,1,Skoklosters slott -- AthenaPlus
2064137,1,Bildarchiv Foto Marburg -- Museu
9200338,1,Hamburg State Library -- The European Library
2022702,1,Biblioteca Virtual de Prensa Histórica -- Hispana
2023865,1,Kunsthalle zu Kiel -- Linked Heritage
2032004,1,Szépművészeti Múzeum -- EUInsideDA
08502,1,"The Israel Museum, Jerusalem -- Athena"
2021012,1,Finnish National Gallery -- National Digital Library (NDL)
09404,1,Muzeum Narodowe w Warszawie -- Federacja Bibliotek Cyfrowych
07101,1,Slovak National Gallery -- Slovak National Gallery
2021659,1,Deventer Musea -- Digitale Collectie
9200386,1,Bavarian State Library -- The European Library
9200284,1,Basque Digital Library (Liburuklik) -- The European Library
2064116,1,"Nationalmuseum, Sweden -- Museu"
