Collection ID,# records,Collection name
http://www.wikidata.org/entity/Q842858,4668,Nationalmuseum
http://www.wikidata.org/entity/Q190804,4554,Rijksmuseum
http://www.wikidata.org/entity/Q2817221,1808,National Portrait Gallery of Sweden
http://www.wikidata.org/entity/Q666063,1075,National Library of Wales
http://www.wikidata.org/entity/Q21542493,923,Welsh Landscape Collection
http://www.wikidata.org/entity/Q574961,486,Frans Hals Museum
http://www.wikidata.org/entity/Q1820897,332,Amsterdam Museum
http://www.wikidata.org/entity/Q474563,320,Teylers Museum
http://www.wikidata.org/entity/Q18573057,316,icon collection of Sweden National Museum
http://www.wikidata.org/entity/Q6877320,201,Oslo Museum
http://www.wikidata.org/entity/Q95569,189,Kunsthistorisches Museum
http://www.wikidata.org/entity/Q19750488,172,collection Adriaan van der Hoop
http://www.wikidata.org/entity/Q18600731,114,Cultural Heritage Agency of the Netherlands Art Collection
http://www.wikidata.org/entity/Q21651637,110,Photographs by John Thomas
http://www.wikidata.org/entity/Q221092,88,Mauritshuis
http://www.wikidata.org/entity/Q18572999,81,Drottningholm Collection
http://www.wikidata.org/entity/Q28045660,81,Dienst Verspreide Rijkscollecties
http://www.wikidata.org/entity/Q937521,75,Norwegian Museum of Cultural History
http://www.wikidata.org/entity/Q671384,65,Statens Museum for Kunst
http://www.wikidata.org/entity/Q2066737,61,Instituut Collectie Nederland
http://www.wikidata.org/entity/Q28045665,58,Stichting Nederlands Kunstbezit
http://www.wikidata.org/entity/Q28045674,47,Rijksdienst Beeldende Kunst
http://www.wikidata.org/entity/Q19382034,33,Museum Stavanger
http://www.wikidata.org/entity/Q18573027,27,Rosersbergs Collection
http://www.wikidata.org/entity/Q2603503,17,Welsh Journals
http://www.wikidata.org/entity/Q18575368,16,Läckö collection
http://www.wikidata.org/entity/Q1744024,15,Slovak National Gallery
http://www.wikidata.org/entity/Q16964319,14,Welsh Newspapers Online
http://www.wikidata.org/entity/Q260913,12,Centraal Museum
http://www.wikidata.org/entity/Q2983474,12,Finnish National Gallery
http://www.wikidata.org/entity/Q679527,12,Museum Boijmans Van Beuningen
http://www.wikidata.org/entity/Q51543916,11,Museum of Living Dutch Masters
http://www.wikidata.org/entity/Q2362660,11,M-Museum Leuven
http://www.wikidata.org/entity/Q18575402,11,Venngarn Collection
http://www.wikidata.org/entity/Q1370465,10,Latvian National Museum of Art
http://www.wikidata.org/entity/Q1167467,10,National Gallery of Athens
http://www.wikidata.org/entity/Q924335,10,Stedelijk Museum Amsterdam
http://www.wikidata.org/entity/Q22661779,10,State Gallery of Contemporary Art
http://www.wikidata.org/entity/Q18575377,9,Leufstasamlingen
http://www.wikidata.org/entity/Q1865041,8,Lithuanian Art Museum
http://www.wikidata.org/entity/Q18573032,8,Strömsholmssamlingen
http://www.wikidata.org/entity/Q2130225,8,Museum Rotterdam
http://www.wikidata.org/entity/Q252071,7,Hungarian National Gallery
http://www.wikidata.org/entity/Q18573041,7,Tessin Institute art collection
http://www.wikidata.org/entity/Q1132918,7,"National Museum of Art, Architecture and Design"
http://www.wikidata.org/entity/Q3503103,7,Croatian Museum of Contemporary Art
http://www.wikidata.org/entity/Q1538285,7,Irish Museum of Modern Art
http://www.wikidata.org/entity/Q6974470,7,National Museum of Fine Arts
http://www.wikidata.org/entity/Q1954426,7,Museum Catharijneconvent
http://www.wikidata.org/entity/Q892727,6,Bonnefanten Museum
http://www.wikidata.org/entity/Q19478938,6,Rijksprentenkabinet
http://www.wikidata.org/entity/Q1499958,6,Kunstmuseum Den Haag
http://www.wikidata.org/entity/Q3044768,6,Department of Paintings of the Louvre
http://www.wikidata.org/entity/Q12013217,5,Noordbrabants Museum
http://www.wikidata.org/entity/Q153306,5,National Museum in Warsaw
http://www.wikidata.org/entity/Q2874177,5,Dordrechts Museum
http://www.wikidata.org/entity/Q11234584,5,Museum of Modern Art
http://www.wikidata.org/entity/Q1781661,5,Legermuseum
http://www.wikidata.org/entity/Q150066,5,Pinacoteca di Brera
http://www.wikidata.org/entity/Q2585886,5,National Museum of History and Art
http://www.wikidata.org/entity/Q56189782,5,Art Museum of Estonia's painting collection
http://www.wikidata.org/entity/Q1505892,5,Rijksmuseum Twenthe
http://www.wikidata.org/entity/Q18575372,5,Nynas collection
http://www.wikidata.org/entity/Q1953536,5,National Gallery of Slovenia
http://www.wikidata.org/entity/Q2991178,4,National Art Gallery
http://www.wikidata.org/entity/Q371908,4,Albertina
http://www.wikidata.org/entity/Q277316,4,Rembrandt House Museum
http://www.wikidata.org/entity/Q2153365,4,Zeeuws Museum
http://www.wikidata.org/entity/Q23402,4,Musée d'Orsay
http://www.wikidata.org/entity/Q12007630,3,Trondheim Kunstmuseum
http://www.wikidata.org/entity/Q6185005,3,Gustaf Adolf Sparre
