Wikidata entity,EuropeanaID,HTTP status code
Q1923415,2020718/DR_507255,404
Q1923514,2020718/DR_510626,404
Q1923038,2020718/DR_517190,404
Q1956821,2020718/DR_520967,404
Q1975582,2020718/DR_521715,404
Q1950368,2020718/DR_523819,404
Q1970657,2020718/DR_8892,404
Q1939049,2020718/DR_9293,404
Q2001437,2020718/DR_14181,404
Q2055140,2020718/DR_14646,404
Q1984880,2020718/DR_16079,404
Q1989138,2020718/DR_18826,404
Q2042599,2020718/DR_19496,404
Q2050166,2020718/DR_19688,404
Q2040667,2020718/DR_20993,404
Q2052657,2020718/DR_21956,404
Q2017032,2020718/DR_25888,404
Q2020717,2020718/DR_28286,404
Q1994402,2020718/DR_29290,404
Q1999117,2020718/DR_30610,404
Q1991875,2020718/DR_31192,404
Q2021725,2020718/DR_333174,404
Q2048436,2020718/DR_33709,404
Q2044053,2020718/DR_343338,404
Q2006627,2020718/DR_36410,404
Q1985277,2020718/DR_39269,404
Q2020965,2020718/DR_40093,404
Q2033940,2020718/DR_450416,404
Q2049952,2020718/DR_484072,404
Q1981048,2020718/DR_508374,404
Q2011182,2020718/DR_509886,404
Q2014605,2020718/DR_510998,404
Q2051584,2020718/DR_511551,404
Q2026555,2020718/DR_515077,404
Q2029408,2020718/DR_517489,404
Q2024649,2020718/DR_523267,404
Q1984443,2020718/DR_526096,404
Q2002772,2020718/DR_526706,404
Q1995749,2020718/DR_532056,404
Q2009396,2020718/DR_5431,404
Q1997083,2020718/DR_7401,404
Q2000530,2020718/DR_8648,404
Q2004595,2020718/DR_9465,404
Q2092519,2020718/DR_13134,404
Q2068908,2020718/DR_14191,404
Q2101295,2020718/DR_14608,404
Q2080193,2020718/DR_16954,404
Q2120725,2020718/DR_18257,404
Q2063252,2020718/DR_19695,404
Q2098269,2020718/DR_22627,404
Q2085271,2020718/DR_24539,404
Q2126900,2020718/DR_31593,404
Q2059867,2020718/DR_348807,404
Q2090096,2020718/DR_34905,404
Q2113580,2020718/DR_37848,404
Q2070281,2020718/DR_39804,404
Q2077090,2020718/DR_41928,404
Q2090122,2020718/DR_467465,404
Q2126967,2020718/DR_483507,404
Q2108464,2020718/DR_514850,404
Q2121483,2020718/DR_517387,404
Q2091548,2020718/DR_518386,404
Q2103698,2020718/DR_520427,404
Q2075865,2020718/DR_521170,404
Q2082324,2020718/DR_524377,404
Q2086285,2020718/DR_530868,404
Q2114028,2020718/DR_8364,404
Q2177577,2020718/DR_10081,404
Q2169286,2020718/DR_10388,404
Q2200238,2020718/DR_14557,404
Q2184858,2020718/DR_15613,404
Q2160578,2020718/DR_16069,404
Q2200182,2020718/DR_16127,404
Q2188986,2020718/DR_17871,404
Q2185510,2020718/DR_18434,404
Q2142562,2020718/DR_22227,404
Q2168265,2020718/DR_23211,404
Q2193652,2020718/DR_23454,404
Q2179741,2020718/DR_30007,404
Q2137893,2020718/DR_30781,404
Q2132988,2020718/DR_33003,404
Q2130316,2020718/DR_33097,404
Q2147100,2020718/DR_33107,404
Q2142792,2020718/DR_35377,404
Q2161448,2020718/DR_36295,404
Q2195116,2020718/DR_38103,404
Q2188498,2020718/DR_38786,404
Q2159535,2020718/DR_38862,404
Q2198793,2020718/DR_39339,404
Q2189143,2020718/DR_41098,404
Q2187996,2020718/DR_452742,404
Q2198503,2020718/DR_454493,404
Q2171409,2020718/DR_464140,404
Q2143800,2020718/DR_506223,404
Q2135204,2020718/DR_510560,404
Q2169780,2020718/DR_518789,404
Q2132436,2020718/DR_520832,404
Q2202303,2020718/DR_521049,404
Q2151580,2020718/DR_523383,404
Q17944,2020718/DR_24369,404
Q50720,2020718/DR_526988,404
Q50719,2020718/DR_5681,404
Q95471,2020718/DR_46887,404
Q167148,2020718/DR_514104,404
Q432936,2020718/DR_17604,404
Q478198,2020718/DR_4741,404
Q473851,2020718/DR_530906,404
Q508613,2020718/DR_530882,404
Q493160,2020718/DR_6107,404
Q572269,2020718/DR_332550,404
Q740979,2020718/DR_38707,404
Q800889,2020718/DR_20669,404
Q815972,2020718/DR_507681,404
Q848290,2020718/DR_16722,404
Q914231,2020718/DR_18329,404
Q892531,2020718/DR_38861,404
Q923705,2020718/DR_520762,404
Q942827,2020718/DR_33753,404
Q931161,2020718/DR_36828,404
Q952494,2020718/DR_40635,404
Q979494,2020718/DR_19708,404
Q993056,2020718/DR_451754,404
Q1056152,2020718/DR_5941,404
Q1147595,2020718/DR_29491,404
Q1165829,2020718/DR_33266,404
Q1137560,2020718/DR_35278,404
Q1130722,2020718/DR_4298,404
Q1125814,2020718/DR_6305,404
Q1180002,2020718/DR_513922,404
Q1394941,2020718/DR_28118,404
Q1428529,2020718/DR_524755,404
Q1497093,2020718/DR_518460,404
Q1699841,2020718/DR_23837,404
Q1809131,2020718/DR_15547,404
Q1814184,2020718/DR_15596,404
Q1834732,2020718/DR_17490,404
Q1815556,2020718/DR_17998,404
Q1829077,2020718/DR_22123,404
Q1809424,2020718/DR_41095,404
Q1816309,2020718/DR_459721,404
Q1828541,2020718/DR_486415,404
Q1817393,2020718/DR_521577,404
Q1834907,2020718/DR_525332,404
Q1820897,2020718/DR_5467,404
Q1822295,2020718/DR_7163,404
Q1813748,2020718/DR_8160,404
Q1863317,2020718/DR_13144,404
