Wikidata property ID,EDM property
http://schema.org/description,skos:note
http://www.w3.org/2000/01/rdf-schema#label,skos:prefLabel
http://www.w3.org/2004/02/skos/core#altLabel,skos:altLabel
http://www.wikidata.org/entity/P17,
http://www.wikidata.org/entity/P18,
http://www.wikidata.org/entity/P31,
http://www.wikidata.org/entity/P61,
http://www.wikidata.org/entity/P131,
http://www.wikidata.org/entity/P138,
http://www.wikidata.org/entity/P227,owl:sameAs or skos:exactMatch if URi
http://www.wikidata.org/entity/P276,
http://www.wikidata.org/entity/P279,skos:narrower
http://www.wikidata.org/entity/P349,
http://www.wikidata.org/entity/P361,
http://www.wikidata.org/entity/P373,
http://www.wikidata.org/entity/P461,
http://www.wikidata.org/entity/P508,
http://www.wikidata.org/entity/P580,edm:begin
http://www.wikidata.org/entity/P582,edm:end
http://www.wikidata.org/entity/P585,
http://www.wikidata.org/entity/P625,
http://www.wikidata.org/entity/P646,
http://www.wikidata.org/entity/P691,
http://www.wikidata.org/entity/P710,
http://www.wikidata.org/entity/P805,
http://www.wikidata.org/entity/P828,
http://www.wikidata.org/entity/P910,
http://www.wikidata.org/entity/P921,
http://www.wikidata.org/entity/P935,
http://www.wikidata.org/entity/P1036,
http://www.wikidata.org/entity/P1120,
http://www.wikidata.org/entity/P1269,
http://www.wikidata.org/entity/P1339,
http://www.wikidata.org/entity/P1346,
http://www.w3.org/2000/01/rdf-schema#label,skos:prefLabel
http://www.wikidata.org/prop/P1566,owl:sameAs if URI
http://wikiba.se/ontology#sitelinks,
http://www.wikidata.org/prop/P17,
http://www.wikidata.org/prop/P31,dcterms:isPartOf if URI
http://schema.org/description,skos:note
http://www.wikidata.org/prop/P131,
http://www.wikidata.org/prop/P625,"wgs84_pos:lat  and wgs84_pos:long
"
http://wikiba.se/ontology#identifiers,
http://www.wikidata.org/prop/P373,
http://www.wikidata.org/prop/P646,owl:sameAs if URI
http://www.wikidata.org/prop/P281,
http://www.wikidata.org/prop/P421,
http://www.wikidata.org/prop/P18,foaf:depiction
http://www.w3.org/2004/02/skos/core#altLabel,skos:altLabel
http://www.wikidata.org/prop/P242,
http://www.wikidata.org/prop/P1082,
http://www.wikidata.org/prop/P47,
http://www.wikidata.org/prop/P2044,wgs84_pos:alt
http://www.wikidata.org/prop/P2046,
http://www.wikidata.org/prop/P856,
http://www.wikidata.org/prop/P94,
http://www.wikidata.org/prop/P374,
http://www.wikidata.org/prop/P910,
http://www.wikidata.org/prop/P268,owl:sameAs if URI
http://www.wikidata.org/prop/P214,owl:sameAs if URI
http://www.wikidata.org/prop/P473,
http://www.wikidata.org/prop/P402,
http://www.wikidata.org/prop/P36,
http://www.wikidata.org/prop/P227,owl:sameAs if URI
http://www.wikidata.org/prop/P395,
http://www.wikidata.org/prop/P1464,
http://www.wikidata.org/prop/P3120,"owl:sameAs if URI
http://data.ordnancesurvey.co.uk/id/$1"
http://www.wikidata.org/prop/P836,
http://www.wikidata.org/prop/P6,
http://www.wikidata.org/prop/P3616,
http://www.wikidata.org/prop/P3615,
http://www.wikidata.org/prop/P190,
http://www.wikidata.org/prop/P1332,
http://www.wikidata.org/prop/P1333,
http://www.wikidata.org/prop/P1334,
http://www.wikidata.org/prop/P1335,
http://www.wikidata.org/prop/P635,
http://www.wikidata.org/prop/P806,
http://www.wikidata.org/prop/P1281,
http://www.wikidata.org/prop/P1036,
http://www.wikidata.org/prop/P3639,
http://www.wikidata.org/prop/P41,
http://www.wikidata.org/prop/P982,
http://www.wikidata.org/prop/P613,
http://www.wikidata.org/prop/P1465,
http://www.wikidata.org/prop/P935,
http://www.wikidata.org/prop/P439,
http://www.wikidata.org/prop/P1792,
http://www.wikidata.org/prop/P3417,
http://www.wikidata.org/prop/P1376,
http://www.wikidata.org/prop/P3118,
http://www.wikidata.org/prop/P1383,
http://www.wikidata.org/prop/P843,
http://www.wikidata.org/prop/P948,
http://www.wikidata.org/prop/P1313,
http://www.wikidata.org/prop/P1456,
http://www.wikidata.org/prop/P571,
http://www.wikidata.org/prop/P772,
http://www.wikidata.org/prop/P2503,
http://www.wikidata.org/prop/P150,
http://www.wikidata.org/prop/P166,
http://www.wikidata.org/prop/P138,
http://www.wikidata.org/prop/P1667,"owl:sameAs if URI
http://vocab.getty.edu/tgn/$1"
http://www.wikidata.org/prop/P206,
http://www.wikidata.org/prop/P1296,
http://www.wikidata.org/prop/P244,owl:sameAs if URI
http://www.wikidata.org/prop/P998,
http://www.wikidata.org/prop/P782,
http://www.wikidata.org/prop/P300,
http://www.wikidata.org/prop/P1448,
http://www.wikidata.org/prop/P3990,
http://www.wikidata.org/prop/P964,
http://www.wikidata.org/prop/P237,
http://www.wikidata.org/prop/P764,
http://www.wikidata.org/prop/P721,
http://www.wikidata.org/prop/P576,
http://www.wikidata.org/prop/P1366,
http://www.wikidata.org/prop/P1705,
http://www.wikidata.org/prop/P1936,"owl:sameAs if URI
http://dare.ht.lu.se/places/$1"
http://www.wikidata.org/prop/P1937,
http://www.wikidata.org/prop/P901,
http://www.wikidata.org/prop/P706,
