Wikidata entity,EuropeanaID
Q1923415,2020718/DR_507255
Q1923514,2020718/DR_510626
Q1923038,2020718/DR_517190
Q1956821,2020718/DR_520967
Q1975582,2020718/DR_521715
Q1950368,2020718/DR_523819
Q1970657,2020718/DR_8892
Q1939049,2020718/DR_9293
Q2001437,2020718/DR_14181
Q2055140,2020718/DR_14646
Q1984880,2020718/DR_16079
Q1989138,2020718/DR_18826
Q2042599,2020718/DR_19496
Q2050166,2020718/DR_19688
Q2040667,2020718/DR_20993
Q2052657,2020718/DR_21956
Q2017032,2020718/DR_25888
Q2020717,2020718/DR_28286
Q1994402,2020718/DR_29290
Q1999117,2020718/DR_30610
Q1991875,2020718/DR_31192
Q2021725,2020718/DR_333174
Q2048436,2020718/DR_33709
Q2044053,2020718/DR_343338
Q2006627,2020718/DR_36410
Q1985277,2020718/DR_39269
Q2020965,2020718/DR_40093
Q2033940,2020718/DR_450416
Q2049952,2020718/DR_484072
Q1981048,2020718/DR_508374
Q2011182,2020718/DR_509886
Q2014605,2020718/DR_510998
Q2051584,2020718/DR_511551
Q2026555,2020718/DR_515077
Q2029408,2020718/DR_517489
Q2024649,2020718/DR_523267
Q1984443,2020718/DR_526096
Q2002772,2020718/DR_526706
Q1995749,2020718/DR_532056
Q2009396,2020718/DR_5431
Q1997083,2020718/DR_7401
Q2000530,2020718/DR_8648
Q2004595,2020718/DR_9465
Q2092519,2020718/DR_13134
Q2068908,2020718/DR_14191
Q2101295,2020718/DR_14608
Q2080193,2020718/DR_16954
Q2120725,2020718/DR_18257
Q2063252,2020718/DR_19695
Q2098269,2020718/DR_22627
Q2085271,2020718/DR_24539
Q2126900,2020718/DR_31593
Q2059867,2020718/DR_348807
Q2090096,2020718/DR_34905
Q2113580,2020718/DR_37848
Q2070281,2020718/DR_39804
Q2077090,2020718/DR_41928
Q2090122,2020718/DR_467465
Q2126967,2020718/DR_483507
Q2108464,2020718/DR_514850
Q2121483,2020718/DR_517387
Q2091548,2020718/DR_518386
Q2103698,2020718/DR_520427
Q2075865,2020718/DR_521170
Q2082324,2020718/DR_524377
Q2086285,2020718/DR_530868
Q2114028,2020718/DR_8364
Q2177577,2020718/DR_10081
Q2169286,2020718/DR_10388
Q2200238,2020718/DR_14557
Q2184858,2020718/DR_15613
Q2160578,2020718/DR_16069
Q2200182,2020718/DR_16127
Q2188986,2020718/DR_17871
Q2185510,2020718/DR_18434
Q2142562,2020718/DR_22227
Q2168265,2020718/DR_23211
Q2193652,2020718/DR_23454
Q2179741,2020718/DR_30007
Q2137893,2020718/DR_30781
Q2132988,2020718/DR_33003
Q2130316,2020718/DR_33097
Q2147100,2020718/DR_33107
Q2142792,2020718/DR_35377
Q2161448,2020718/DR_36295
Q2195116,2020718/DR_38103
Q2188498,2020718/DR_38786
Q2159535,2020718/DR_38862
Q2198793,2020718/DR_39339
Q2189143,2020718/DR_41098
Q2187996,2020718/DR_452742
Q2198503,2020718/DR_454493
Q2171409,2020718/DR_464140
Q2143800,2020718/DR_506223
Q2135204,2020718/DR_510560
Q2169780,2020718/DR_518789
Q2132436,2020718/DR_520832
Q2202303,2020718/DR_521049
Q2151580,2020718/DR_523383
Q17944,2020718/DR_24369
Q50720,2020718/DR_526988
Q50719,2020718/DR_5681
Q95471,2020718/DR_46887
Q167148,2020718/DR_514104
Q432936,2020718/DR_17604
Q478198,2020718/DR_4741
Q473851,2020718/DR_530906
Q508613,2020718/DR_530882
Q493160,2020718/DR_6107
Q572269,2020718/DR_332550
Q740979,2020718/DR_38707
Q800889,2020718/DR_20669
Q815972,2020718/DR_507681
Q848290,2020718/DR_16722
Q914231,2020718/DR_18329
Q892531,2020718/DR_38861
Q923705,2020718/DR_520762
Q942827,2020718/DR_33753
Q931161,2020718/DR_36828
Q952494,2020718/DR_40635
Q979494,2020718/DR_19708
Q993056,2020718/DR_451754
Q1056152,2020718/DR_5941
Q1147595,2020718/DR_29491
Q1165829,2020718/DR_33266
Q1137560,2020718/DR_35278
Q1130722,2020718/DR_4298
Q1125814,2020718/DR_6305
Q1180002,2020718/DR_513922
Q1394941,2020718/DR_28118
Q1428529,2020718/DR_524755
Q1497093,2020718/DR_518460
Q1699841,2020718/DR_23837
Q1809131,2020718/DR_15547
Q1814184,2020718/DR_15596
Q1834732,2020718/DR_17490
Q1815556,2020718/DR_17998
Q1829077,2020718/DR_22123
Q1809424,2020718/DR_41095
Q1816309,2020718/DR_459721
Q1828541,2020718/DR_486415
Q1817393,2020718/DR_521577
Q1834907,2020718/DR_525332
Q1820897,2020718/DR_5467
Q1822295,2020718/DR_7163
Q1813748,2020718/DR_8160
Q1863317,2020718/DR_13144
Q1890043,2020718/DR_17132
Q1842390,2020718/DR_18802
Q1899975,2020718/DR_19831
Q1865654,2020718/DR_21479
Q1887693,2020718/DR_24505
Q1856364,2020718/DR_28571
Q1865686,2020718/DR_29943
Q1846421,2020718/DR_30162
Q1896590,2020718/DR_31337
Q1883455,2020718/DR_31586
Q1851741,2020718/DR_33103
Q1903141,2020718/DR_34982
Q1843473,2020718/DR_37639
Q1882621,2020718/DR_38124
Q1854302,2020718/DR_39327
Q1848078,2020718/DR_40092
Q1908281,2020718/DR_46929
Q1870587,2020718/DR_483412
Q1847968,2020718/DR_507076
Q1843524,2020718/DR_507199
Q1861753,2020718/DR_507442
Q1882477,2020718/DR_509417
Q1867126,2020718/DR_510943
Q1875273,2020718/DR_526675
Q1882280,2020718/DR_7089
Q1867927,2020718/DR_7449
Q1855050,2020718/DR_7898
Q1886200,2020718/DR_8406
Q1869717,2020718/DR_8411
Q1907180,2020718/DR_9860
Q1918354,2020718/DR_10235
Q1911239,2020718/DR_11155
Q1976814,2020718/DR_12326
Q1931931,2020718/DR_12414
Q1951493,2020718/DR_14548
Q1948561,2020718/DR_14635
Q1923519,2020718/DR_21542
Q1973739,2020718/DR_25467
Q1919911,2020718/DR_26609
Q1955870,2020718/DR_31038
Q1976714,2020718/DR_32450
Q1923798,2020718/DR_333537
Q1958516,2020718/DR_33995
Q1950345,2020718/DR_39286
Q1950747,2020718/DR_459569
Q1948006,2020718/DR_46518
Q2130550,2020718/DR_527688
Q2133295,2020718/DR_7061
Q2150641,2020718/DR_7685
Q2178022,2020718/DR_9978
Q2235973,2020718/DR_11679
Q2278631,2020718/DR_18271
Q2215259,2020718/DR_19917
Q2215732,2020718/DR_21422
Q2272526,2020718/DR_22695
Q2265127,2020718/DR_23469
Q2259688,2020718/DR_23540
Q2243348,2020718/DR_23833
Q2225213,2020718/DR_29263
Q2205374,2020718/DR_30638
Q2236671,2020718/DR_31395
Q2246705,2020718/DR_31571
Q2268131,2020718/DR_32709
Q2268131,2020718/DR_32710
Q2225856,2020718/DR_331
Q2231515,2020718/DR_33254
Q2239545,2020718/DR_34008
Q2249745,2020718/DR_36589
Q2234983,2020718/DR_38211
Q2276421,2020718/DR_38465
Q2267211,2020718/DR_38858
Q2259585,2020718/DR_38868
Q2239177,2020718/DR_39032
Q2221389,2020718/DR_508610
Q2249790,2020718/DR_512776
Q2215915,2020718/DR_514895
Q2247495,2020718/DR_515486
Q2243753,2020718/DR_517575
Q2250172,2020718/DR_518004
Q2266932,2020718/DR_521293
Q2243271,2020718/DR_524868
Q2236215,2020718/DR_525653
Q2263929,2020718/DR_6190
Q2256148,2020718/DR_8268
Q2211121,2020718/DR_9428
Q2349735,2020718/DR_14184
Q2352693,2020718/DR_14251
Q2303187,2020718/DR_18201
Q2343533,2020718/DR_18569
Q2337844,2020718/DR_21027
Q2330207,2020718/DR_22144
Q2351921,2020718/DR_22265
Q2303747,2020718/DR_22452
Q2327269,2020718/DR_24411
Q2333545,2020718/DR_24463
Q2326072,2020718/DR_25667
Q2295187,2020718/DR_25759
Q2314480,2020718/DR_25826
Q2351867,2020718/DR_28289
Q2314368,2020718/DR_31611
Q2339092,2020718/DR_32337
Q2311477,2020718/DR_33105
Q2325673,2020718/DR_36068
Q2324096,2020718/DR_37498
Q2323095,2020718/DR_37641
Q2320896,2020718/DR_38550
