# ----------------------------------------
# Filtered view (to use)
# Pages
# 20190101-20191231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/portal/en/record/90402/NG_MC_1412.html,22,17,00:01:53,17,76.47%,72.73%,$0.00
/portal/en/record/90402/RP_F_2011_73.html?q=child,21,17,00:02:56,4,0.00%,9.52%,$0.00
/portal/en/record/90402/RP_F_BR_1999_3.html,19,17,00:00:38,16,81.25%,73.68%,$0.00
/portal/en/record/90402/RP_F_F01212_27_2.html,17,17,00:00:37,16,75.00%,76.47%,$0.00
/portal/en/record/90402/RP_P_1907_3942.html,17,17,00:01:09,17,76.47%,88.24%,$0.00
/portal/en/record/90402/RP_P_2009_3816.html,22,17,00:02:00,15,73.33%,54.55%,$0.00
/portal/en/record/90402/RP_P_OB_33_235.html,22,17,00:02:29,16,56.25%,63.64%,$0.00
/portal/en/record/90402/RP_P_OB_34_861.html?q=Messalina,18,17,00:04:23,17,88.24%,88.89%,$0.00
/portal/en/record/90402/RP_T_1951_186_R_.html,19,17,00:03:24,17,70.59%,89.47%,$0.00
/portal/en/record/90402/SK_A_2953.html,19,17,00:03:14,9,77.78%,57.89%,$0.00
/portal/en/record/90402/SK_A_3277.html,19,17,00:09:12,17,70.59%,78.95%,$0.00
/portal/en/record/90402/SK_A_464.html,20,17,00:01:03,17,70.59%,85.00%,$0.00
/portal/en/record/90402/SK_A_4856.html,17,17,00:00:00,17,70.59%,100.00%,$0.00
/portal/en/record/90402/SK_A_5005.html,19,17,00:02:11,16,81.25%,84.21%,$0.00
/portal/en/record/90402/SK_C_1347.html,20,17,00:05:35,17,64.71%,80.00%,$0.00
/portal/en/record/90402/SK_C_149.html,18,17,00:00:48,17,82.35%,94.44%,$0.00
/portal/en/record/90402/SK_C_1706.html,17,17,00:00:19,17,88.24%,94.12%,$0.00
/portal/en/record/90402/SK_C_204.html,19,17,00:01:11,16,81.25%,84.21%,$0.00
/portal/en/record/90402/SK_C_232.html,17,17,00:01:57,16,87.50%,94.12%,$0.00
/portal/en/record/916118/S_TEK_object_TEKS0018744.html,21,17,00:01:01,17,64.71%,76.19%,$0.00
/portal/en/record/916118/S_TEK_object_TEKS0033743.html,24,17,00:03:21,16,50.00%,62.50%,$0.00
/portal/en/record/916118/S_TEK_object_TEKS0043266.html,22,17,00:09:38,16,75.00%,77.27%,$0.00
/portal/en/record/916118/S_TEK_object_TEKS0043687.html,22,17,00:01:56,17,61.11%,72.73%,$0.00
/portal/en/record/916118/S_TEK_photo_TEKA0077548.html,20,17,00:02:46,16,75.00%,75.00%,$0.00
/portal/en/record/91616/arme_object_AM016775.html,18,17,00:00:46,16,87.50%,77.78%,$0.00
/portal/en/record/91625/nomu_object_NM0287697.html,17,17,00:00:00,17,88.24%,100.00%,$0.00
/portal/en/record/91625/nomu_photo_NMA0070316.html,20,17,00:00:52,17,82.35%,80.00%,$0.00
/portal/en/record/91640/SMVK_MM_Photograph_3982567.html?q=howard+carter,19,17,00:00:27,1,100.00%,15.79%,$0.00
/portal/en/record/91658/MM_objekt_28305.html,19,17,00:05:04,13,61.54%,68.42%,$0.00
/portal/en/record/91658/MM_objekt_523149.html,21,17,00:00:55,17,82.35%,80.95%,$0.00
/portal/en/record/91658/MM_objekt_56787.html,18,17,00:02:54,15,80.00%,94.44%,$0.00
/portal/en/record/91956/u__fulletsAB_3612.html,17,17,00:00:54,17,94.12%,94.12%,$0.00
/portal/en/record/91973/u__vistes_794.html,20,17,00:07:13,17,70.59%,70.00%,$0.00
/portal/en/record/9200105/B7A2FFFA683A070F63BF1EC8018E2016484DFE4E.html,21,17,00:00:31,12,58.33%,80.95%,$0.00
/portal/en/record/9200105/BibliographicResource_3000006116631.html,17,17,00:04:38,17,88.24%,94.12%,$0.00
/portal/en/record/9200105/BibliographicResource_3000006155252.html,19,17,00:00:55,17,88.24%,78.95%,$0.00
/portal/en/record/9200105/wellcome_historical_images_V0008801.html,22,17,00:02:58,17,70.59%,77.27%,$0.00
/portal/en/record/9200110/BibliographicResource_1000126616924.html,20,17,00:00:44,17,64.71%,70.00%,$0.00
/portal/en/record/9200122/BibliographicResource_1000056088489.html,18,17,00:01:48,17,94.12%,94.44%,$0.00
/portal/en/record/9200122/BibliographicResource_1000056118315.html,22,17,00:00:23,12,83.33%,54.55%,$0.00
/portal/en/record/9200125/oai_haw_nsk_hr_192.html,21,17,00:00:29,17,76.47%,76.19%,$0.00
/portal/en/record/9200135/BibliographicResource_2000000003908.html,23,17,00:03:29,17,41.18%,56.52%,$0.00
/portal/en/record/9200143/1CDCBF77383216F89DBCA02EB792EFE9A381DF89.html,22,17,00:02:46,15,40.00%,63.64%,$0.00
/portal/en/record/9200143/BibliographicResource_2000069325367.html,23,17,00:03:14,17,41.18%,73.91%,$0.00
/portal/en/record/9200143/BibliographicResource_2000069390800.html,18,17,00:01:13,17,94.12%,94.44%,$0.00
/portal/en/record/9200182/798F5DB90A9479045818162CF159ED1D755843EA.html,17,17,00:00:18,17,88.24%,88.24%,$0.00
/portal/en/record/9200182/A4B6AF107DF9DCC71D3710918BA052D822625CA9.html,19,17,00:00:35,17,82.35%,84.21%,$0.00
/portal/en/record/92002/BibliographicResource_1000093325416_source.html,23,17,00:01:08,17,76.47%,73.91%,$0.00
/portal/en/record/92002/BibliographicResource_1000093325519_source.html,19,17,00:08:19,17,88.24%,89.47%,$0.00
/portal/en/record/9200235/10_16922_1783167920_02.html,17,17,00:09:03,17,94.12%,94.12%,$0.00
/portal/en/record/9200267/BibliographicResource_3000059120867.html,20,17,00:03:39,16,75.00%,80.00%,$0.00
/portal/en/record/9200268/BibliographicResource_3000058487356.html,18,17,00:01:12,17,76.47%,83.33%,$0.00
/portal/en/record/9200271/BibliographicResource_3000058905060.html?start=448&query=europeana_collectionName:+9200271*&startPage=433&qt=false&rows=48,22,17,00:02:02,17,47.06%,63.64%,$0.00
/portal/en/record/9200302/BibliographicResource_2000092065140,20,17,00:00:29,0,0.00%,0.00%,$0.00
/portal/en/record/9200338/BibliographicResource_3000094626705.html,29,17,00:00:24,4,50.00%,10.34%,$0.00
/portal/en/record/9200350/BibliographicResource_3000095272157.html,21,17,00:00:57,17,58.82%,71.43%,$0.00
/portal/en/record/9200359/BibliographicResource_3000112765049,20,17,00:00:36,14,57.14%,55.00%,$0.00
/portal/en/record/9200365/BibliographicResource_1000054871045.html,17,17,00:00:00,16,100.00%,100.00%,$0.00
/portal/en/record/9200365/BibliographicResource_2000081547604.html,21,17,00:04:10,17,64.71%,76.19%,$0.00
/portal/en/record/9200365/BibliographicResource_2000092758064.html,24,17,00:01:53,17,64.71%,66.67%,$0.00
/portal/en/record/9200365/BibliographicResource_3000148105106.html,23,17,00:01:01,17,64.71%,69.57%,$0.00
/portal/en/record/9200369/webclient_DeliveryManager_pid_4909760_custom_att_2_simple_viewer.html,24,17,00:03:33,16,56.25%,45.83%,$0.00
/portal/en/record/9200375/BibliographicResource_3000147720070.html,20,17,00:00:35,16,75.00%,85.00%,$0.00
/portal/en/record/9200387/BibliographicResource_3000117240170.html,17,17,00:02:02,16,81.25%,82.35%,$0.00
/portal/en/record/9200387/BibliographicResource_3000117240933.html,21,17,00:00:33,1,100.00%,28.57%,$0.00
/portal/en/record/9200387/BibliographicResource_3000117259577.html,19,17,00:04:08,17,52.94%,89.47%,$0.00
/portal/en/record/9200387/BibliographicResource_3000117298947.html,17,17,00:00:00,17,82.35%,100.00%,$0.00
/portal/en/record/9200397/BibliographicResource_3000126261812.html,20,17,00:03:53,17,66.67%,80.00%,$0.00
/portal/en/record/9200397/BibliographicResource_3000126282658.html,18,17,00:03:04,13,53.85%,72.22%,$0.00
/portal/en/record/9200400/dspace_retrieve_7021.html,18,17,00:02:43,16,87.50%,88.89%,$0.00
/portal/en/record/9200408/BibliographicResource_3000118919234.html?q=,18,17,00:00:35,0,0.00%,27.78%,$0.00
/portal/en/record/9200456/handle_123456789_65571.html,22,17,00:00:57,17,47.06%,77.27%,$0.00
/portal/en/record/9200507/105630.html,22,17,00:03:40,17,70.59%,77.27%,$0.00
/portal/en/record/9200579/bkauych9.html,19,17,00:06:23,17,88.24%,89.47%,$0.00
