# ----------------------------------------
# Filtered view (to use)
# Pages
# 20190101-20191231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
(other),"2,092,601","1,832,962",00:01:18,"719,815",73.31%,37.25%,$0.00
/portal/en/record/90402/RP_P_1904_1946.html,"2,784","2,591",00:01:33,"2,582",88.85%,89.83%,$0.00
/portal/da/record/2063604/DEN_280_018.html,"2,769","2,456",00:06:06,"2,405",82.40%,85.59%,$0.00
/portal/es/record/2022704/lod_oai_archivoimagen_jccm_es_31014_ent1.html,"2,242","2,182",00:02:17,"2,181",97.16%,97.19%,$0.00
/portal/da/record/2063604/DEN_280_001.html,"2,249","2,018",00:06:32,"2,007",85.33%,88.22%,$0.00
/portal/it/record/08602/NonAVCreation_luce_it_IL_NonAVCreation_Master13339IT_IL_FT00001_00000494_1.html,"2,061","1,976",00:03:11,"1,951",93.85%,93.89%,$0.00
/portal/en/record/2048053/MUO_053203.html,"2,202","1,791",00:03:02,"1,770",78.25%,77.61%,$0.00
/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MAECO_CE029043.html,"2,071","1,743",00:04:41,"1,699",80.34%,79.58%,$0.00
/portal/da/record/2020903/KMS1454.html,"1,945","1,733",00:03:32,"1,704",84.34%,84.83%,$0.00
/portal/it/record/08602/NonAVCreation_luce_it_IL_NonAVCreation_IL0020024245_1.html,"1,865","1,694",00:01:50,"1,690",88.58%,88.15%,$0.00
/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MAN_FB_FA128_1_FD004.html,"1,668","1,519",00:04:47,"1,518",90.78%,90.71%,$0.00
/portal/en/record/2022703/oai_euromuseos_mcu_es_euromuseos_MNAD_CE25069.html,"1,557","1,497",00:02:50,"1,496",94.52%,94.48%,$0.00
/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MSM_00838.html,"1,775","1,445",00:05:25,"1,416",80.96%,79.04%,$0.00
/portal/de/record/2048043/ProvidedCHO_Universit_t_Osnabr_ck___Historische_Bildpostkarten_8218.html,"1,577","1,444",00:03:28,"1,441",88.76%,90.04%,$0.00
/portal/en/record/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_17773.html,"1,671","1,372",00:04:31,"1,358",80.41%,80.07%,$0.00
/portal/bg/record/2059509/resource_cho_88ef0217567527f96112259bfbfeb784.html,"1,431","1,313",00:05:56,"1,311",91.76%,91.33%,$0.00
/portal/en/record/91401/oai_ircam_fr_grove_24058.html,"1,408","1,269",00:04:33,"1,262",88.59%,87.86%,$0.00
/portal/bg/record/2059509/resource_cho_d1c153741a0ca062883b606590653b13.html,"1,370","1,263",00:04:20,"1,263",92.00%,91.68%,$0.00
/portal/de/record/2020601/contributions_2727.html,"1,304","1,232",00:03:53,"1,229",85.84%,93.25%,$0.00
/portal/en/record/2048208/OBJ29781.html,"1,334","1,218",00:07:36,"1,203",53.67%,88.31%,$0.00
/portal/lt/record/2059511/data_foodanddrink_24199.html,"1,276","1,188",00:05:51,"1,185",92.32%,92.01%,$0.00
/portal/es/record/9200110/BibliographicResource_1000126593862.html,"1,591","1,161",00:03:09,"1,154",72.36%,71.78%,$0.00
/portal/it/record/08602/NonAVCreation_luce_it_IL_NonAVCreation_IL0010025848_gen1_1.html,"1,222","1,138",00:02:36,"1,107",86.99%,87.40%,$0.00
/portal/de/record/15502/GG_2636.html,"1,316","1,122",00:05:30,"1,117",83.08%,83.89%,$0.00
/portal/da/record/2020903/KMS1644.html,"1,354","1,111",00:04:11,"1,054",70.29%,71.79%,$0.00
/portal/bg/record/2059509/resource_cho_2f873b01534f406261f65b99c8a7bff1.html,"1,184","1,108",00:06:50,"1,105",93.85%,93.41%,$0.00
/portal/it/record/2022069/10978_2C98FD87_DCFD_4965_8178_30D0B919CD65.html,"1,330","1,062",00:04:12,"1,028",71.60%,76.47%,$0.00
/portal/es/record/9200110/BibliographicResource_1000126565017.html,"1,171","1,052",00:03:32,"1,051",89.44%,89.50%,$0.00
